song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
2K,Nosaj Thing,0.31,0.445,7,-13.355,0,0.0863,0.094,0.0678,0.113,0.122,95.36,audio_features,33xMbeHzmWd6Od0BmLZEUs,spotify:track:33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/tracks/33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/audio-analysis/33xMbeHzmWd6Od0BmLZEUs,152560,3,2
4 Minute Warning,Radiohead,0.354,0.302,9,-13.078,1,0.0326,0.59,0.0709,0.111,0.223,123.753,audio_features,1w8QCSDH4QobcQeT4uMKLm,spotify:track:1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/tracks/1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/audio-analysis/1w8QCSDH4QobcQeT4uMKLm,244285,4,2
17,Perfume Genius,0.396,0.141,6,-16.115,1,0.0294,0.919,0.434,0.339,0.0443,68.03,audio_features,1wKGGfnznnXIvupuEZt9mM,spotify:track:1wKGGfnznnXIvupuEZt9mM,https://api.spotify.com/v1/tracks/1wKGGfnznnXIvupuEZt9mM,https://api.spotify.com/v1/audio-analysis/1wKGGfnznnXIvupuEZt9mM,150013,4,2
21 Gun Salute,Half Moon Run,0.594,0.61,11,-10.57,0,0.0388,0.829,0.208,0.077,0.289,129.963,audio_features,7Jjqx75QRHaYsxF5WnHovC,spotify:track:7Jjqx75QRHaYsxF5WnHovC,https://api.spotify.com/v1/tracks/7Jjqx75QRHaYsxF5WnHovC,https://api.spotify.com/v1/audio-analysis/7Jjqx75QRHaYsxF5WnHovC,292409,4,2
22h22,Ariane Moffatt,0.35,0.0959,10,-17.471,1,0.0439,0.964,0.0024,0.106,0.108,143.861,audio_features,7BIPYQPHbPVDE9UsA0eT72,spotify:track:7BIPYQPHbPVDE9UsA0eT72,https://api.spotify.com/v1/tracks/7BIPYQPHbPVDE9UsA0eT72,https://api.spotify.com/v1/audio-analysis/7BIPYQPHbPVDE9UsA0eT72,200907,4,2
28 Jours,Karkwa,0.15,0.237,3,-10.799,0,0.0323,0.778,0.0977,0.0897,0.0733,67.276,audio_features,4KEw5m7CZXVbpWbHVK4OrV,spotify:track:4KEw5m7CZXVbpWbHVK4OrV,https://api.spotify.com/v1/tracks/4KEw5m7CZXVbpWbHVK4OrV,https://api.spotify.com/v1/audio-analysis/4KEw5m7CZXVbpWbHVK4OrV,292120,4,2
Across The Universe - Take 2 / Anthology 2 Version,The Beatles,0.488,0.341,2,-11.907,1,0.0256,0.681,0.0,0.0844,0.463,79.377,audio_features,00fyPXxe2SCBHnFwEO9Eh1,spotify:track:00fyPXxe2SCBHnFwEO9Eh1,https://api.spotify.com/v1/tracks/00fyPXxe2SCBHnFwEO9Eh1,https://api.spotify.com/v1/audio-analysis/00fyPXxe2SCBHnFwEO9Eh1,212120,4,2
Across The Universe - World Wildlife Fund Version / Remastered 2009,The Beatles,0.461,0.575,10,-10.709,1,0.0538,0.517,0.0,0.138,0.549,82.634,audio_features,691jw4auDZjaTOwUJmtoSy,spotify:track:691jw4auDZjaTOwUJmtoSy,https://api.spotify.com/v1/tracks/691jw4auDZjaTOwUJmtoSy,https://api.spotify.com/v1/audio-analysis/691jw4auDZjaTOwUJmtoSy,229173,4,2
Across The Universe - Remastered 2009,The Beatles,0.257,0.412,1,-11.788,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,audio_features,4dkoqJrP0L8FXftrMZongF,spotify:track:4dkoqJrP0L8FXftrMZongF,https://api.spotify.com/v1/tracks/4dkoqJrP0L8FXftrMZongF,https://api.spotify.com/v1/audio-analysis/4dkoqJrP0L8FXftrMZongF,228133,4,2
Across The Universe - Remastered 2009,The Beatles,0.252,0.395,1,-12.323,1,0.0283,0.405,0.000119,0.0635,0.84,154.06,audio_features,2Yh0H2OXI2UItG9GGfQzlK,spotify:track:2Yh0H2OXI2UItG9GGfQzlK,https://api.spotify.com/v1/tracks/2Yh0H2OXI2UItG9GGfQzlK,https://api.spotify.com/v1/audio-analysis/2Yh0H2OXI2UItG9GGfQzlK,229787,4,2
Afraid of Time,Hans Zimmer,0.251,0.00342,9,-38.794,0,0.0433,0.919,0.0255,0.117,0.0504,119.997,audio_features,3Vef8GlFWEzrP23UwHjWWl,spotify:track:3Vef8GlFWEzrP23UwHjWWl,https://api.spotify.com/v1/tracks/3Vef8GlFWEzrP23UwHjWWl,https://api.spotify.com/v1/audio-analysis/3Vef8GlFWEzrP23UwHjWWl,152673,3,2
Ah Holy Jesus,Sufjan Stevens,0.161,0.176,8,-14.604,1,0.0446,0.986,0.000232,0.178,0.0808,67.503,audio_features,7H819kvtogxVpKDFplUFKc,spotify:track:7H819kvtogxVpKDFplUFKc,https://api.spotify.com/v1/tracks/7H819kvtogxVpKDFplUFKc,https://api.spotify.com/v1/audio-analysis/7H819kvtogxVpKDFplUFKc,161653,4,2
Ah Holy Jesus (with reed organ),Sufjan Stevens,0.296,0.164,5,-12.602,0,0.0348,0.959,0.0,0.201,0.253,85.346,audio_features,1FEYWXG23hr3m2vXHpbZeq,spotify:track:1FEYWXG23hr3m2vXHpbZeq,https://api.spotify.com/v1/tracks/1FEYWXG23hr3m2vXHpbZeq,https://api.spotify.com/v1/audio-analysis/1FEYWXG23hr3m2vXHpbZeq,88800,4,2
Aliens,Fleece,0.426,0.502,1,-11.085,0,0.0296,0.582,0.206,0.123,0.153,130.018,audio_features,27U2Idl2Jl63dltNrgP6rm,spotify:track:27U2Idl2Jl63dltNrgP6rm,https://api.spotify.com/v1/tracks/27U2Idl2Jl63dltNrgP6rm,https://api.spotify.com/v1/audio-analysis/27U2Idl2Jl63dltNrgP6rm,254852,3,2
All Ears,The Whitest Boy Alive,0.457,0.0952,2,-15.476,1,0.0413,0.693,0.032,0.113,0.138,139.432,audio_features,2hkfe7ug1Wabzapt5HQec4,spotify:track:2hkfe7ug1Wabzapt5HQec4,https://api.spotify.com/v1/tracks/2hkfe7ug1Wabzapt5HQec4,https://api.spotify.com/v1/audio-analysis/2hkfe7ug1Wabzapt5HQec4,199760,5,2
All I Need,Radiohead,0.668,0.477,4,-8.709,0,0.0358,0.517,0.446,0.139,0.0966,88.005,audio_features,51ygW389BW4Dut3B69pSwc,spotify:track:51ygW389BW4Dut3B69pSwc,https://api.spotify.com/v1/tracks/51ygW389BW4Dut3B69pSwc,https://api.spotify.com/v1/audio-analysis/51ygW389BW4Dut3B69pSwc,228747,4,2
All I've Ever Known,Bahamas,0.669,0.203,5,-11.059,1,0.0317,0.706,0.221,0.107,0.265,125.864,audio_features,0MOMLuhHqNgJ7uAceOPmfj,spotify:track:0MOMLuhHqNgJ7uAceOPmfj,https://api.spotify.com/v1/tracks/0MOMLuhHqNgJ7uAceOPmfj,https://api.spotify.com/v1/audio-analysis/0MOMLuhHqNgJ7uAceOPmfj,375973,4,2
All My Loving,Rita Lee,0.701,0.182,2,-17.068,1,0.0381,0.835,0.0276,0.109,0.125,117.885,audio_features,5dIZa3pwSn1vDenZpSBEFO,spotify:track:5dIZa3pwSn1vDenZpSBEFO,https://api.spotify.com/v1/tracks/5dIZa3pwSn1vDenZpSBEFO,https://api.spotify.com/v1/audio-analysis/5dIZa3pwSn1vDenZpSBEFO,185733,4,2
All Things Must Pass - Anthology 3 Version,The Beatles,0.492,0.231,9,-13.476,1,0.0368,0.972,6.16e-06,0.229,0.61,93.232,audio_features,25RYJGPnetSkV8le7TeJnR,spotify:track:25RYJGPnetSkV8le7TeJnR,https://api.spotify.com/v1/tracks/25RYJGPnetSkV8le7TeJnR,https://api.spotify.com/v1/audio-analysis/25RYJGPnetSkV8le7TeJnR,184987,3,2
