title,artist
Way 2 Sexy,Drake Featuring Future & Young Thug
Girls Want Girls,Drake Featuring Lil Baby
Fair Trade,Drake Featuring Travis Scott
Champagne Poetry,Drake
Knife Talk,Drake Featuring 21 Savage & Project Pat
Stay,The Kid LAROI & Justin Bieber
In The Bible,Drake Featuring Lil Durk & Giveon
Papi's Home,Drake
TSU,Drake
Love All,Drake Featuring JAY-Z
No Friends In The Industry,Drake
N 2 Deep,Drake Featuring Future
Bad Habits,Ed Sheeran
Pipe Down,Drake
Good 4 U,Olivia Rodrigo
7am On Bridle Path,Drake
Butter,BTS
Race My Mind,Drake
Kiss Me More,Doja Cat Featuring SZA
Industry Baby,Lil Nas X & Jack Harlow
Fancy Like,Walker Hayes
IMY2,Drake Featuring Kid Cudi
Levitating,Dua Lipa
Yebba's Heartbreak,Drake & Yebba
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross
Fountains,Drake Featuring Tems
Get Along Better,Drake Featuring Ty Dolla $ign
Save Your Tears,The Weeknd & Ariana Grande
Hurricane,Kanye West
Montero (Call Me By Your Name),Lil Nas X
Deja Vu,Olivia Rodrigo
Fucking Fans,Drake
Heat Waves,Glass Animals
Essence,Wizkid Featuring Justin Bieber & Tems
The Remorse,Drake
You Right,Doja Cat & The Weeknd
Take My Breath,The Weeknd
Need To Know,Doja Cat
Beggin',Maneskin
Leave Before You Love Me,Marshmello X Jonas Brothers
Off The Grid,Kanye West
Happier Than Ever,Billie Eilish
If I Didn't Love You,Jason Aldean & Carrie Underwood
Family Ties,Baby Keem & Kendrick Lamar
Pepas,Farruko
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Waves,Luke Bryan
Traitor,Olivia Rodrigo
Moon,Kanye West
Things A Man Oughta Know,Lainey Wilson
Country Again,Thomas Rhett
Chasing After You,Ryan Hurd With Maren Morris
Arcade,Duncan Laurence
Rumors,Lizzo Featuring Cardi B
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
Thot Shit,Megan Thee Stallion
Jail,Kanye West
Late At Night,Roddy Ricch
A-O-K,Tai Verdes
I Was On A Boat That Day,Old Dominion
Wockesha,Moneybagg Yo
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Ok Ok,Kanye West
Praise God,Kanye West
Skate,Silk Sonic (Bruno Mars & Anderson .Paak)
Whole Lotta Money,BIA Featuring Nicki Minaj
Love Again,Dua Lipa
Memory I Don't Mess With,Lee Brice
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line
You Time,Scotty McCreery
Todo de Ti,Rauw Alejandro
Buy Dirt,Jordan Davis Featuring Luke Bryan
2055,Sleepy Hallow
Cold As You,Luke Combs
Volvi,Aventura x Bad Bunny
Junya,Kanye West
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Woman,Doja Cat
We Didn't Have Much,Justin Moore
Gyalis,Capella Grey
Wild Side,Normani Featuring Cardi B
Yonaguni,Bad Bunny
Believe What I Say,Kanye West
Memory,Kane Brown X blackbear
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert
Get Into It (Yuh),Doja Cat
My Boy,Elvie Shane
Single Saturday Night,Cole Swindell
Jonah,Kanye West
You Should Probably Leave,Chris Stapleton
Don't Go Yet,Camila Cabello
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Jesus Lord,Kanye West
Summer Of Love,Shawn Mendes & Tainy
Ain't Shit,Doja Cat
Motley Crew,Post Malone
Remote Control,Kanye West
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
